agents,distanceMultiplier,profitMultiplier,time,distance
1,0.10,0.10,2814830.00,655474.51
2,0.10,0.10,229170.00,763343.55
4,0.10,0.10,138820.00,1043540.21
8,0.10,0.10,52520.00,1587668.60
1,0.10,0.20,835950.00,655474.51
2,0.10,0.20,60770.00,763343.55
4,0.10,0.20,66700.00,1043540.21
8,0.10,0.20,297600.00,1587668.60
1,0.10,0.30,66730.00,655474.51
2,0.10,0.30,24680.00,763343.55
4,0.10,0.30,18680.00,1043540.21
8,0.10,0.30,17110.00,1587668.60
1,0.10,0.40,66160.00,655474.51
2,0.10,0.40,24500.00,763343.55
4,0.10,0.40,19340.00,1043540.21
8,0.10,0.40,15490.00,1587668.60
1,0.10,0.50,67230.00,655474.51
2,0.10,0.50,24210.00,763343.55
4,0.10,0.50,19600.00,1043540.21
8,0.10,0.50,16020.00,1587668.60
1,0.10,0.60,66360.00,655474.51
2,0.10,0.60,24370.00,763343.55
4,0.10,0.60,18790.00,1043540.21
8,0.10,0.60,15030.00,1587668.60
1,0.10,0.70,66460.00,655474.51
2,0.10,0.70,25850.00,763343.55
4,0.10,0.70,19140.00,1043540.21
8,0.10,0.70,15190.00,1587668.60
1,0.10,0.80,67240.00,655474.51
2,0.10,0.80,32110.00,763343.55
4,0.10,0.80,17930.00,1043540.21
8,0.10,0.80,15000.00,1587668.60
1,0.10,0.90,66340.00,655474.51
2,0.10,0.90,23170.00,763343.55
4,0.10,0.90,17270.00,1043540.21
8,0.10,0.90,14480.00,1587668.60
1,0.10,1.00,71660.00,655474.51
2,0.10,1.00,27230.00,763343.55
4,0.10,1.00,19230.00,1043540.21
8,0.10,1.00,18560.00,1587668.60
1,0.10,1.10,72080.00,655474.51
2,0.10,1.10,25620.00,763343.55
4,0.10,1.10,19870.00,1043540.21
8,0.10,1.10,15230.00,1587668.60
1,0.10,1.20,65770.00,655474.51
2,0.10,1.20,24280.00,763343.55
4,0.10,1.20,20060.00,1043540.21
8,0.10,1.20,14800.00,1587668.60
1,0.10,1.30,66150.00,655474.51
2,0.10,1.30,24320.00,763343.55
4,0.10,1.30,18960.00,1043540.21
8,0.10,1.30,14930.00,1587668.60
1,0.10,1.40,67000.00,655474.51
2,0.10,1.40,23450.00,763343.55
4,0.10,1.40,27580.00,1043540.21
8,0.10,1.40,13180.00,1587668.60
1,0.10,1.50,63410.00,655474.51
2,0.10,1.50,25530.00,763343.55
4,0.10,1.50,17780.00,1043540.21
8,0.10,1.50,14190.00,1587668.60
1,0.10,1.60,64100.00,655474.51
2,0.10,1.60,23560.00,763343.55
4,0.10,1.60,18060.00,1043540.21
8,0.10,1.60,15250.00,1587668.60
1,0.10,1.70,64600.00,655474.51
2,0.10,1.70,34140.00,763343.55
4,0.10,1.70,21760.00,1043540.21
8,0.10,1.70,13610.00,1587668.60
1,0.10,1.80,63490.00,655474.51
2,0.10,1.80,22700.00,763343.55
4,0.10,1.80,20170.00,1043540.21
8,0.10,1.80,13760.00,1587668.60
1,0.10,1.90,68820.00,655474.51
2,0.10,1.90,25990.00,763343.55
4,0.10,1.90,19760.00,1043540.21
8,0.10,1.90,16560.00,1587668.60
1,0.10,2.00,69050.00,655474.51
2,0.10,2.00,26070.00,763343.55
4,0.10,2.00,17940.00,1043540.21
8,0.10,2.00,14530.00,1587668.60
1,0.10,2.10,69000.00,655474.51
2,0.10,2.10,26010.00,763343.55
4,0.10,2.10,18990.00,1043540.21
8,0.10,2.10,14520.00,1587668.60
1,0.10,2.20,68380.00,655474.51
2,0.10,2.20,24180.00,763343.55
4,0.10,2.20,18810.00,1043540.21
8,0.10,2.20,14250.00,1587668.60
1,0.10,2.30,65900.00,655474.51
2,0.10,2.30,23680.00,763343.55
4,0.10,2.30,18000.00,1043540.21
8,0.10,2.30,13940.00,1587668.60
1,0.10,2.40,64870.00,655474.51
2,0.10,2.40,23340.00,763343.55
4,0.10,2.40,18040.00,1043540.21
8,0.10,2.40,14250.00,1587668.60
1,0.10,2.50,66770.00,655474.51
2,0.10,2.50,22770.00,763343.55
4,0.10,2.50,17020.00,1043540.21
8,0.10,2.50,13200.00,1587668.60
1,0.10,2.60,63910.00,655474.51
2,0.10,2.60,22510.00,763343.55
4,0.10,2.60,18750.00,1043540.21
8,0.10,2.60,13380.00,1587668.60
1,0.10,2.70,64100.00,655474.51
2,0.10,2.70,22900.00,763343.55
4,0.10,2.70,16800.00,1043540.21
8,0.10,2.70,13210.00,1587668.60
1,0.10,2.80,63990.00,655474.51
2,0.10,2.80,28430.00,763343.55
4,0.10,2.80,16790.00,1043540.21
8,0.10,2.80,13070.00,1587668.60
1,0.10,2.90,63870.00,655474.51
2,0.10,2.90,22750.00,763343.55
4,0.10,2.90,16270.00,1043540.21
8,0.10,2.90,14170.00,1587668.60
1,0.10,3.00,65180.00,655474.51
2,0.10,3.00,23450.00,763343.55
4,0.10,3.00,17910.00,1043540.21
8,0.10,3.00,14140.00,1587668.60
1,0.10,3.10,65430.00,655474.51
2,0.10,3.10,23220.00,763343.55
4,0.10,3.10,17640.00,1043540.21
8,0.10,3.10,14400.00,1587668.60
1,0.10,3.20,64720.00,655474.51
2,0.10,3.20,25400.00,763343.55
4,0.10,3.20,18010.00,1043540.21
8,0.10,3.20,14970.00,1587668.60
1,0.10,3.30,64320.00,655474.51
2,0.10,3.30,23120.00,763343.55
4,0.10,3.30,18020.00,1043540.21
8,0.10,3.30,13590.00,1587668.60
1,0.10,3.40,65860.00,655474.51
2,0.10,3.40,22520.00,763343.55
4,0.10,3.40,16930.00,1043540.21
8,0.10,3.40,13280.00,1587668.60
1,0.10,3.50,63550.00,655474.51
2,0.10,3.50,22470.00,763343.55
4,0.10,3.50,16690.00,1043540.21
8,0.10,3.50,13410.00,1587668.60
1,0.10,3.60,66960.00,655474.51
2,0.10,3.60,22790.00,763343.55
4,0.10,3.60,16880.00,1043540.21
8,0.10,3.60,15130.00,1587668.60
1,0.10,3.70,66710.00,655474.51
2,0.10,3.70,24580.00,763343.55
4,0.10,3.70,19370.00,1043540.21
8,0.10,3.70,14200.00,1587668.60
1,0.10,3.80,68650.00,655474.51
2,0.10,3.80,25750.00,763343.55
4,0.10,3.80,17830.00,1043540.21
8,0.10,3.80,14680.00,1587668.60
1,0.10,3.90,68660.00,655474.51
2,0.10,3.90,24420.00,763343.55
4,0.10,3.90,18310.00,1043540.21
8,0.10,3.90,14570.00,1587668.60
1,0.10,4.00,69390.00,655474.51
2,0.10,4.00,25430.00,763343.55
4,0.10,4.00,18040.00,1043540.21
8,0.10,4.00,14390.00,1587668.60
1,0.10,4.10,71390.00,655474.51
2,0.10,4.10,25950.00,763343.55
4,0.10,4.10,18800.00,1043540.21
8,0.10,4.10,16400.00,1587668.60
1,0.10,4.20,69300.00,655474.51
2,0.10,4.20,25330.00,763343.55
4,0.10,4.20,19110.00,1043540.21
8,0.10,4.20,15500.00,1587668.60
1,0.10,4.30,69310.00,655474.51
2,0.10,4.30,26300.00,763343.55
4,0.10,4.30,19190.00,1043540.21
8,0.10,4.30,14520.00,1587668.60
1,0.10,4.40,70330.00,655474.51
2,0.10,4.40,25320.00,763343.55
4,0.10,4.40,17010.00,1043540.21
8,0.10,4.40,13130.00,1587668.60
1,0.10,4.50,64100.00,655474.51
2,0.10,4.50,33740.00,763343.55
4,0.10,4.50,16690.00,1043540.21
8,0.10,4.50,15420.00,1587668.60
1,0.10,4.60,63770.00,655474.51
2,0.10,4.60,22580.00,763343.55
4,0.10,4.60,16690.00,1043540.21
8,0.10,4.60,12990.00,1587668.60
1,0.10,4.70,70310.00,655474.51
2,0.10,4.70,22370.00,763343.55
4,0.10,4.70,16660.00,1043540.21
8,0.10,4.70,12920.00,1587668.60
1,0.10,4.80,63790.00,655474.51
2,0.10,4.80,27170.00,763343.55
4,0.10,4.80,16670.00,1043540.21
8,0.10,4.80,18390.00,1587668.60
1,0.10,4.90,63690.00,655474.51
2,0.10,4.90,22360.00,763343.55
4,0.10,4.90,16700.00,1043540.21
8,0.10,4.90,12830.00,1587668.60
1,0.10,5.00,63390.00,655474.51
2,0.10,5.00,22000.00,763343.55
4,0.10,5.00,16390.00,1043540.21
8,0.10,5.00,13370.00,1587668.60
1,0.20,0.10,63930.00,655474.51
2,0.20,0.10,21990.00,763343.55
4,0.20,0.10,27680.00,1043540.21
8,0.20,0.10,13000.00,1587668.60
1,0.20,0.20,64310.00,655474.51
2,0.20,0.20,22650.00,763343.55
4,0.20,0.20,16920.00,1043540.21
8,0.20,0.20,12990.00,1587668.60
1,0.20,0.30,63390.00,655474.51
2,0.20,0.30,22210.00,763343.55
4,0.20,0.30,16770.00,1043540.21
8,0.20,0.30,12730.00,1587668.60
1,0.20,0.40,63840.00,655474.51
2,0.20,0.40,26390.00,763343.55
4,0.20,0.40,17470.00,1043540.21
8,0.20,0.40,24320.00,1587668.60
1,0.20,0.50,64780.00,655474.51
2,0.20,0.50,22880.00,763343.55
4,0.20,0.50,17160.00,1043540.21
8,0.20,0.50,13820.00,1587668.60
1,0.20,0.60,64050.00,655474.51
2,0.20,0.60,22720.00,763343.55
4,0.20,0.60,17130.00,1043540.21
8,0.20,0.60,13180.00,1587668.60
1,0.20,0.70,68900.00,655474.51
2,0.20,0.70,22600.00,763343.55
4,0.20,0.70,16970.00,1043540.21
8,0.20,0.70,14040.00,1587668.60
1,0.20,0.80,63900.00,655474.51
2,0.20,0.80,22600.00,763343.55
4,0.20,0.80,16700.00,1043540.21
8,0.20,0.80,13820.00,1587668.60
1,0.20,0.90,64530.00,655474.51
2,0.20,0.90,23290.00,763343.55
4,0.20,0.90,17750.00,1043540.21
8,0.20,0.90,13810.00,1587668.60
1,0.20,1.00,64090.00,655474.51
2,0.20,1.00,23570.00,763343.55
4,0.20,1.00,17750.00,1043540.21
8,0.20,1.00,15560.00,1587668.60
1,0.20,1.10,64020.00,655474.51
2,0.20,1.10,22410.00,763343.55
4,0.20,1.10,17040.00,1043540.21
8,0.20,1.10,13210.00,1587668.60
1,0.20,1.20,63650.00,655474.51
2,0.20,1.20,22660.00,763343.55
4,0.20,1.20,16560.00,1043540.21
8,0.20,1.20,13280.00,1587668.60
1,0.20,1.30,63750.00,655474.51
2,0.20,1.30,22460.00,763343.55
4,0.20,1.30,17020.00,1043540.21
8,0.20,1.30,13460.00,1587668.60
1,0.20,1.40,66670.00,655474.51
2,0.20,1.40,22370.00,763343.55
4,0.20,1.40,16640.00,1043540.21
8,0.20,1.40,14520.00,1587668.60
1,0.20,1.50,63660.00,655474.51
2,0.20,1.50,22130.00,763343.55
4,0.20,1.50,16480.00,1043540.21
8,0.20,1.50,13010.00,1587668.60
1,0.20,1.60,64080.00,655474.51
2,0.20,1.60,22120.00,763343.55
4,0.20,1.60,16600.00,1043540.21
8,0.20,1.60,12920.00,1587668.60
1,0.20,1.70,69160.00,655474.51
2,0.20,1.70,22550.00,763343.55
4,0.20,1.70,16730.00,1043540.21
8,0.20,1.70,13010.00,1587668.60
1,0.20,1.80,64060.00,655474.51
2,0.20,1.80,22050.00,763343.55
4,0.20,1.80,16980.00,1043540.21
8,0.20,1.80,12720.00,1587668.60
1,0.20,1.90,63140.00,655474.51
2,0.20,1.90,22930.00,763343.55
4,0.20,1.90,16730.00,1043540.21
8,0.20,1.90,13340.00,1587668.60
1,0.20,2.00,64230.00,655474.51
2,0.20,2.00,22720.00,763343.55
4,0.20,2.00,16750.00,1043540.21
8,0.20,2.00,13100.00,1587668.60
1,0.20,2.10,63790.00,655474.51
2,0.20,2.10,22600.00,763343.55
4,0.20,2.10,16740.00,1043540.21
8,0.20,2.10,16500.00,1587668.60
1,0.20,2.20,63970.00,655474.51
2,0.20,2.20,22980.00,763343.55
4,0.20,2.20,17090.00,1043540.21
8,0.20,2.20,13990.00,1587668.60
1,0.20,2.30,63890.00,655474.51
2,0.20,2.30,24510.00,763343.55
4,0.20,2.30,18530.00,1043540.21
8,0.20,2.30,21420.00,1587668.60
1,0.20,2.40,78220.00,655474.51
2,0.20,2.40,39640.00,763343.55
4,0.20,2.40,19480.00,1043540.21
8,0.20,2.40,15750.00,1587668.60
1,0.20,2.50,71320.00,655474.51
2,0.20,2.50,27750.00,763343.55
4,0.20,2.50,19900.00,1043540.21
8,0.20,2.50,14500.00,1587668.60
1,0.20,2.60,73100.00,655474.51
2,0.20,2.60,43230.00,763343.55
4,0.20,2.60,21120.00,1043540.21
8,0.20,2.60,16030.00,1587668.60
1,0.20,2.70,72530.00,655474.51
2,0.20,2.70,27630.00,763343.55
4,0.20,2.70,21470.00,1043540.21
8,0.20,2.70,16950.00,1587668.60
1,0.20,2.80,72730.00,655474.51
2,0.20,2.80,27540.00,763343.55
4,0.20,2.80,20460.00,1043540.21
8,0.20,2.80,16570.00,1587668.60
1,0.20,2.90,74450.00,655474.51
2,0.20,2.90,26980.00,763343.55
4,0.20,2.90,21270.00,1043540.21
8,0.20,2.90,16370.00,1587668.60
1,0.20,3.00,73910.00,655474.51
2,0.20,3.00,27860.00,763343.55
4,0.20,3.00,22110.00,1043540.21
8,0.20,3.00,18630.00,1587668.60
1,0.20,3.10,79090.00,655474.51
2,0.20,3.10,26000.00,763343.55
4,0.20,3.10,18810.00,1043540.21
8,0.20,3.10,16220.00,1587668.60
1,0.20,3.20,76610.00,655474.51
2,0.20,3.20,36600.00,763343.55
4,0.20,3.20,25430.00,1043540.21
8,0.20,3.20,19480.00,1587668.60
1,0.20,3.30,103280.00,655474.51
2,0.20,3.30,35040.00,763343.55
4,0.20,3.30,25550.00,1043540.21
8,0.20,3.30,19730.00,1587668.60
1,0.20,3.40,105700.00,655474.51
2,0.20,3.40,35490.00,763343.55
4,0.20,3.40,25030.00,1043540.21
8,0.20,3.40,19500.00,1587668.60
1,0.20,3.50,102100.00,655474.51
2,0.20,3.50,34340.00,763343.55
4,0.20,3.50,24880.00,1043540.21
