heuristic,agents,profit,time (ns),distance (km)
one,1,5,225,60.92
one,1,10,212,60.92
one,1,15,218,60.99
one,1,20,218,61.54
one,1,25,246,62.73
one,1,30,300,66.36
one,1,35,300,72.31
one,1,40,339,72.91
one,1,45,440,142.65
one,1,50,475,156.17
one,1,55,486,157.69
one,1,60,490,159.22
one,1,65,488,159.22
one,1,70,506,159.22
one,1,75,525,172.58
one,1,80,538,179.62
one,1,85,591,186.50
one,1,90,595,186.50
one,1,95,577,186.50
one,1,100,617,189.65
one,1,105,612,192.95
one,1,110,617,196.69
one,1,115,626,196.72
one,1,120,617,203.10
one,1,125,657,215.74
one,1,130,751,223.92
one,1,135,832,231.00
one,1,140,869,231.04
one,1,145,842,231.04
one,1,150,837,234.83
one,1,155,883,234.99
one,1,160,976,238.75
one,1,165,1002,238.83
one,1,170,1103,242.78
one,1,175,1326,243.41
one,1,180,1437,246.87
one,1,185,2075,252.06
one,1,190,2443,261.58
one,1,195,3046,451.54
one,1,200,3170,460.34
one,1,205,3213,462.16
one,1,210,3336,464.25
one,1,215,3701,465.84
one,1,220,3570,467.25
one,1,225,3532,467.26
one,1,230,3773,468.42
one,1,235,4012,470.92
one,1,240,5108,481.62
one,1,245,6847,550.02
one,1,250,7302,567.00
one,1,255,8028,568.74
one,1,260,8510,585.18
one,1,265,8492,585.99
one,1,270,9167,586.77
one,1,275,10229,619.41
one,1,280,10839,624.79
one,1,285,12341,626.27
one,1,290,13954,639.58
one,1,295,15990,643.64
one,1,333,618162,1585.65
one,2,5,232,60.97
one,2,10,241,60.97
one,2,15,247,61.07
one,2,20,245,61.63
one,2,25,251,65.40
one,2,30,302,85.97
one,2,35,298,86.52
one,2,40,324,87.58
one,2,45,511,129.70
one,2,50,413,160.62
one,2,55,422,162.77
one,2,60,437,164.89
one,2,65,436,164.89
one,2,70,591,168.02
one,2,75,469,193.89
one,2,80,471,199.31
one,2,85,520,221.63
one,2,90,520,222.03
one,2,95,541,222.04
one,2,100,554,228.74
one,2,105,550,232.65
one,2,110,542,236.43
one,2,115,584,238.83
one,2,120,612,249.45
one,2,125,649,264.98
one,2,130,743,269.39
one,2,135,789,287.57
