coefficient,agentNo,coefficientVal,desiredProfit,distanceRes
dist,1,-1.00000,5,57863.59
dist,2,-1.00000,5,88601.43
dist,4,-1.00000,5,131177.22
dist,8,-1.00000,5,146811.87
dist,10,-1.00000,5,146953.44
dist,1,0.03125,5,60922.88
dist,2,0.03125,5,60971.98
dist,4,0.03125,5,60971.98
dist,8,0.03125,5,60971.98
dist,10,0.03125,5,60971.98
dist,1,0.06250,5,60922.88
dist,2,0.06250,5,60971.98
dist,4,0.06250,5,60971.98
dist,8,0.06250,5,60971.98
dist,10,0.06250,5,60971.98
dist,1,0.12500,5,60922.88
dist,2,0.12500,5,60971.98
dist,4,0.12500,5,60971.98
dist,8,0.12500,5,60971.98
dist,10,0.12500,5,60971.98
dist,1,0.25000,5,60922.88
dist,2,0.25000,5,60971.98
dist,4,0.25000,5,60971.98
dist,8,0.25000,5,60971.98
dist,10,0.25000,5,60971.98
dist,1,0.50000,5,60922.88
dist,2,0.50000,5,60971.98
dist,4,0.50000,5,60971.98
dist,8,0.50000,5,60971.98
dist,10,0.50000,5,60971.98
dist,1,1.00000,5,60922.88
dist,2,1.00000,5,60971.98
dist,4,1.00000,5,60971.98
dist,8,1.00000,5,60971.98
dist,10,1.00000,5,60971.98
dist,1,2.00000,5,60922.88
dist,2,2.00000,5,60971.98
dist,4,2.00000,5,60971.98
dist,8,2.00000,5,60971.98
dist,10,2.00000,5,60971.98
dist,1,4.00000,5,60922.88
dist,2,4.00000,5,60971.98
dist,4,4.00000,5,60971.98
dist,8,4.00000,5,60971.98
dist,10,4.00000,5,60971.98
dist,1,8.00000,5,60922.88
dist,2,8.00000,5,60971.98
dist,4,8.00000,5,60971.98
dist,8,8.00000,5,60971.98
dist,10,8.00000,5,60971.98
dist,1,16.00000,5,60922.88
dist,2,16.00000,5,60971.98
dist,4,16.00000,5,60971.98
dist,8,16.00000,5,60971.98
dist,10,16.00000,5,60971.98
dist,1,32.00000,5,60922.88
dist,2,32.00000,5,60971.98
dist,4,32.00000,5,60971.98
dist,8,32.00000,5,60971.98
dist,10,32.00000,5,60971.98
dist,1,64.00000,5,60922.88
dist,2,64.00000,5,60971.98
dist,4,64.00000,5,60971.98
dist,8,64.00000,5,60971.98
dist,10,64.00000,5,60971.98
dist,1,-1.00000,10,67535.65
dist,2,-1.00000,10,102168.73
dist,4,-1.00000,10,153021.54
dist,8,-1.00000,10,199004.58
dist,10,-1.00000,10,201528.08
dist,1,0.03125,10,60922.88
dist,2,0.03125,10,60971.98
dist,4,0.03125,10,60971.98
dist,8,0.03125,10,60971.98
dist,10,0.03125,10,60971.98
dist,1,0.06250,10,60922.88
dist,2,0.06250,10,60971.98
dist,4,0.06250,10,60971.98
dist,8,0.06250,10,60971.98
dist,10,0.06250,10,60971.98
dist,1,0.12500,10,60922.88
dist,2,0.12500,10,60971.98
dist,4,0.12500,10,60971.98
dist,8,0.12500,10,60971.98
dist,10,0.12500,10,60971.98
dist,1,0.25000,10,60922.88
dist,2,0.25000,10,60971.98
dist,4,0.25000,10,60971.98
dist,8,0.25000,10,60971.98
dist,10,0.25000,10,60971.98
dist,1,0.50000,10,60922.88
dist,2,0.50000,10,60971.98
dist,4,0.50000,10,60971.98
dist,8,0.50000,10,60971.98
dist,10,0.50000,10,60971.98
dist,1,1.00000,10,60922.88
dist,2,1.00000,10,60971.98
dist,4,1.00000,10,60971.98
dist,8,1.00000,10,60971.98
