agents,kmax,percent,ratio,profit,distance
1,1,-1,0.30,5,60922.88
1,1,-1,0.30,30,67035.31
1,1,-1,0.30,55,140555.74
1,1,-1,0.30,80,156529.60
1,1,-1,0.30,105,169610.50
1,1,-1,0.30,130,192142.98
1,1,-1,0.30,155,241160.59
1,1,-1,0.30,180,248695.19
1,1,-1,0.30,205,267249.66
1,1,-1,0.30,230,513811.97
1,1,-1,0.30,255,518987.24
1,1,-1,0.30,280,622657.04
1,3,-1,0.30,5,60922.88
1,3,-1,0.30,30,66983.81
1,3,-1,0.30,55,139052.19
1,3,-1,0.30,80,154760.81
1,3,-1,0.30,105,169610.50
1,3,-1,0.30,130,191740.33
1,3,-1,0.30,155,240633.31
1,3,-1,0.30,180,247985.88
1,3,-1,0.30,205,265845.74
1,3,-1,0.30,230,512490.84
1,3,-1,0.30,255,518032.53
1,3,-1,0.30,280,619211.54
1,5,-1,0.30,5,60922.88
1,5,-1,0.30,30,66983.81
1,5,-1,0.30,55,139052.19
1,5,-1,0.30,80,154760.81
1,5,-1,0.30,105,169583.68
1,5,-1,0.30,130,191733.85
1,5,-1,0.30,155,240615.82
1,5,-1,0.30,180,247808.43
1,5,-1,0.30,205,265721.33
1,5,-1,0.30,230,512276.18
1,5,-1,0.30,255,517819.70
1,5,-1,0.30,280,618841.42
1,7,-1,0.30,5,60922.88
1,7,-1,0.30,30,66983.81
1,7,-1,0.30,55,139052.19
1,7,-1,0.30,80,154723.03
1,7,-1,0.30,105,169510.46
1,7,-1,0.30,130,188411.85
1,7,-1,0.30,155,239651.56
1,7,-1,0.30,180,247004.61
1,7,-1,0.30,205,265279.50
1,7,-1,0.30,230,511506.24
1,7,-1,0.30,255,516759.88
1,7,-1,0.30,280,604405.74
1,9,-1,0.30,5,60922.88
1,9,-1,0.30,30,66983.81
1,9,-1,0.30,55,139052.19
1,9,-1,0.30,80,154723.03
1,9,-1,0.30,105,169510.46
1,9,-1,0.30,130,188411.85
1,9,-1,0.30,155,239243.74
1,9,-1,0.30,180,246908.96
1,9,-1,0.30,205,265279.50
1,9,-1,0.30,230,511445.35
1,9,-1,0.30,255,516722.75
1,9,-1,0.30,280,604405.74
1,11,-1,0.30,5,60922.88
1,11,-1,0.30,30,66983.81
1,11,-1,0.30,55,139052.19
1,11,-1,0.30,80,154658.41
1,11,-1,0.30,105,169448.85
1,11,-1,0.30,130,188396.44
1,11,-1,0.30,155,239074.02
1,11,-1,0.30,180,246543.29
1,11,-1,0.30,205,264996.41
1,11,-1,0.30,230,510234.70
1,11,-1,0.30,255,515034.83
1,11,-1,0.30,280,601593.93
1,13,-1,0.30,5,60922.88
1,13,-1,0.30,30,66983.81
1,13,-1,0.30,55,139052.19
1,13,-1,0.30,80,154658.41
1,13,-1,0.30,105,169448.85
1,13,-1,0.30,130,188396.44
1,13,-1,0.30,155,239074.02
1,13,-1,0.30,180,246543.29
1,13,-1,0.30,205,264996.41
1,13,-1,0.30,230,510234.70
1,13,-1,0.30,255,515031.48
1,13,-1,0.30,280,601593.93
1,15,-1,0.30,5,60922.88
1,15,-1,0.30,30,66983.81
1,15,-1,0.30,55,139052.19
1,15,-1,0.30,80,154658.41
1,15,-1,0.30,105,169448.85
1,15,-1,0.30,130,188396.44
1,15,-1,0.30,155,239074.02
1,15,-1,0.30,180,246364.36
1,15,-1,0.30,205,264684.27
1,15,-1,0.30,230,508744.20
1,15,-1,0.30,255,514057.33
1,15,-1,0.30,280,600826.29
1,17,-1,0.30,5,60922.88
1,17,-1,0.30,30,66983.81
1,17,-1,0.30,55,139052.19
1,17,-1,0.30,80,154658.41
1,17,-1,0.30,105,169448.85
