agents,kmax,percent,ratio,profit,distance
1,1,-1,-1.00,5,60922.88
1,1,-1,-1.00,30,67035.31
1,1,-1,-1.00,55,140555.74
1,1,-1,-1.00,80,156529.60
1,1,-1,-1.00,105,169610.50
1,1,-1,-1.00,130,192142.98
1,1,-1,-1.00,155,241160.59
1,1,-1,-1.00,180,248695.19
1,1,-1,-1.00,205,267249.66
1,1,-1,-1.00,230,513811.97
1,1,-1,-1.00,255,518987.24
1,1,-1,-1.00,280,622657.04
1,3,-1,-1.00,5,60922.88
1,3,-1,-1.00,30,66983.81
1,3,-1,-1.00,55,140007.48
1,3,-1,-1.00,80,154798.29
1,3,-1,-1.00,105,169584.05
1,3,-1,-1.00,130,188715.79
1,3,-1,-1.00,155,240176.55
1,3,-1,-1.00,180,247593.66
1,3,-1,-1.00,205,265867.44
1,3,-1,-1.00,230,504834.69
1,3,-1,-1.00,255,517688.49
1,3,-1,-1.00,280,613416.09
1,5,-1,-1.00,5,60922.88
1,5,-1,-1.00,30,66983.81
1,5,-1,-1.00,55,139009.27
1,5,-1,-1.00,80,154776.60
1,5,-1,-1.00,105,169486.62
1,5,-1,-1.00,130,188682.12
1,5,-1,-1.00,155,240020.05
1,5,-1,-1.00,180,247336.60
1,5,-1,-1.00,205,265330.91
1,5,-1,-1.00,230,507915.67
1,5,-1,-1.00,255,516430.22
1,5,-1,-1.00,280,611940.56
1,7,-1,-1.00,5,60922.88
1,7,-1,-1.00,30,66983.81
1,7,-1,-1.00,55,138982.21
1,7,-1,-1.00,80,154776.60
1,7,-1,-1.00,105,169559.74
1,7,-1,-1.00,130,188606.38
1,7,-1,-1.00,155,239516.69
1,7,-1,-1.00,180,246926.42
1,7,-1,-1.00,205,265259.14
1,7,-1,-1.00,230,503625.34
1,7,-1,-1.00,255,516223.58
1,7,-1,-1.00,280,607805.60
1,9,-1,-1.00,5,60922.88
1,9,-1,-1.00,30,66983.81
1,9,-1,-1.00,55,138982.21
1,9,-1,-1.00,80,154723.03
1,9,-1,-1.00,105,169445.93
1,9,-1,-1.00,130,188538.36
1,9,-1,-1.00,155,239549.94
