agents,kmax,percent,ratio,profit,distance
1,-1,-1,-1.00,5,60922.88
1,-1,-1,-1.00,30,66983.81
1,-1,-1,-1.00,55,139027.59
1,-1,-1,-1.00,80,155087.64
1,-1,-1,-1.00,105,169508.73
1,-1,-1,-1.00,130,188585.07
1,-1,-1,-1.00,155,239604.48
1,-1,-1,-1.00,180,246473.96
1,-1,-1,-1.00,205,264544.18
1,-1,-1,-1.00,230,502876.52
1,-1,-1,-1.00,255,513885.76
1,-1,-1,-1.00,280,593094.01
1,-1,10,-1.00,5,60922.88
1,-1,10,-1.00,30,67035.31
1,-1,10,-1.00,55,140555.74
1,-1,10,-1.00,80,156529.60
1,-1,10,-1.00,105,169499.27
1,-1,10,-1.00,130,188803.88
1,-1,10,-1.00,155,241021.59
1,-1,10,-1.00,180,248144.98
1,-1,10,-1.00,205,265887.74
1,-1,10,-1.00,230,505292.67
1,-1,10,-1.00,255,514921.30
1,-1,10,-1.00,280,605645.08
1,-1,20,-1.00,5,60922.88
1,-1,20,-1.00,30,67035.31
1,-1,20,-1.00,55,139586.33
1,-1,20,-1.00,80,154950.52
1,-1,20,-1.00,105,169427.08
1,-1,20,-1.00,130,189047.68
1,-1,20,-1.00,155,239879.38
1,-1,20,-1.00,180,246992.97
1,-1,20,-1.00,205,265213.99
1,-1,20,-1.00,230,504899.59
1,-1,20,-1.00,255,515316.43
1,-1,20,-1.00,280,605189.44
1,-1,30,-1.00,5,60922.88
1,-1,30,-1.00,30,66983.81
1,-1,30,-1.00,55,139382.00
1,-1,30,-1.00,80,154989.43
1,-1,30,-1.00,105,169757.85
1,-1,30,-1.00,130,188995.17
1,-1,30,-1.00,155,239855.00
1,-1,30,-1.00,180,247518.79
1,-1,30,-1.00,205,265472.57
1,-1,30,-1.00,230,506273.41
1,-1,30,-1.00,255,516927.20
1,-1,30,-1.00,280,605309.95
1,-1,40,-1.00,5,60922.88
1,-1,40,-1.00,30,66983.81
1,-1,40,-1.00,55,139196.79
1,-1,40,-1.00,80,155278.39
1,-1,40,-1.00,105,169781.15
1,-1,40,-1.00,130,188978.64
1,-1,40,-1.00,155,240434.39
1,-1,40,-1.00,180,247776.61
1,-1,40,-1.00,205,266054.22
1,-1,40,-1.00,230,505482.72
1,-1,40,-1.00,255,515196.24
1,-1,40,-1.00,280,605637.32
1,-1,50,-1.00,5,60922.88
1,-1,50,-1.00,30,66983.81
1,-1,50,-1.00,55,139135.07
1,-1,50,-1.00,80,154998.67
1,-1,50,-1.00,105,170021.97
1,-1,50,-1.00,130,189075.99
1,-1,50,-1.00,155,240475.40
1,-1,50,-1.00,180,247749.56
1,-1,50,-1.00,205,265674.95
1,-1,50,-1.00,230,505918.22
1,-1,50,-1.00,255,515259.20
1,-1,50,-1.00,280,609116.47
1,-1,60,-1.00,5,60922.88
1,-1,60,-1.00,30,66983.81
1,-1,60,-1.00,55,139134.22
1,-1,60,-1.00,80,155004.34
1,-1,60,-1.00,105,170007.91
1,-1,60,-1.00,130,189169.05
1,-1,60,-1.00,155,240303.39
1,-1,60,-1.00,180,247722.32
1,-1,60,-1.00,205,266017.96
1,-1,60,-1.00,230,505233.73
1,-1,60,-1.00,255,516885.31
1,-1,60,-1.00,280,610466.30
1,-1,70,-1.00,5,60922.88
1,-1,70,-1.00,30,66983.81
1,-1,70,-1.00,55,139064.04
1,-1,70,-1.00,80,154950.21
1,-1,70,-1.00,105,169941.87
1,-1,70,-1.00,130,188758.72
1,-1,70,-1.00,155,240743.45
1,-1,70,-1.00,180,247800.72
1,-1,70,-1.00,205,266067.42
1,-1,70,-1.00,230,507764.03
1,-1,70,-1.00,255,517107.53
1,-1,70,-1.00,280,611597.55
1,-1,80,-1.00,5,60922.88
1,-1,80,-1.00,30,66985.25
1,-1,80,-1.00,55,139084.77
1,-1,80,-1.00,80,154914.75
1,-1,80,-1.00,105,169754.56
1,-1,80,-1.00,130,192119.79
1,-1,80,-1.00,155,240858.42
1,-1,80,-1.00,180,247952.34
1,-1,80,-1.00,205,267180.09
1,-1,80,-1.00,230,508229.85
1,-1,80,-1.00,255,517606.79
1,-1,80,-1.00,280,610934.16
1,-1,90,-1.00,5,60922.88
1,-1,90,-1.00,30,66984.77
1,-1,90,-1.00,55,139576.01
1,-1,90,-1.00,80,155374.02
1,-1,90,-1.00,105,169421.24
1,-1,90,-1.00,130,191980.29
1,-1,90,-1.00,155,241248.34
1,-1,90,-1.00,180,248223.23
1,-1,90,-1.00,205,266920.08
1,-1,90,-1.00,230,512470.34
1,-1,90,-1.00,255,517957.87
1,-1,90,-1.00,280,603335.67
1,-1,100,-1.00,5,60922.88
1,-1,100,-1.00,30,67035.31
1,-1,100,-1.00,55,140555.74
1,-1,100,-1.00,80,156529.60
1,-1,100,-1.00,105,169610.50
1,-1,100,-1.00,130,192142.98
1,-1,100,-1.00,155,241160.59
1,-1,100,-1.00,180,248695.19
1,-1,100,-1.00,205,267249.66
1,-1,100,-1.00,230,513811.97
1,-1,100,-1.00,255,518987.24
1,-1,100,-1.00,280,622657.04
2,-1,-1,-1.00,5,60971.98
2,-1,-1,-1.00,30,85960.96
2,-1,-1,-1.00,55,165198.78
2,-1,-1,-1.00,80,181349.26
2,-1,-1,-1.00,105,220234.41
2,-1,-1,-1.00,130,249138.48
2,-1,-1,-1.00,155,296588.70
2,-1,-1,-1.00,180,309431.48
2,-1,-1,-1.00,205,333950.23
2,-1,-1,-1.00,230,580731.74
2,-1,-1,-1.00,255,596617.93
2,-1,-1,-1.00,280,665713.58
2,-1,10,-1.00,5,60971.98
2,-1,10,-1.00,30,85960.96
2,-1,10,-1.00,55,165438.58
2,-1,10,-1.00,80,183071.15
2,-1,10,-1.00,105,221250.22
2,-1,10,-1.00,130,272178.55
2,-1,10,-1.00,155,300452.26
2,-1,10,-1.00,180,314949.33
2,-1,10,-1.00,205,346640.79
2,-1,10,-1.00,230,596807.63
2,-1,10,-1.00,255,617202.30
2,-1,10,-1.00,280,693430.52
2,-1,20,-1.00,5,60971.98
2,-1,20,-1.00,30,85960.96
2,-1,20,-1.00,55,165438.58
2,-1,20,-1.00,80,183001.79
2,-1,20,-1.00,105,221198.12
2,-1,20,-1.00,130,265108.69
2,-1,20,-1.00,155,301486.13
2,-1,20,-1.00,180,314831.12
2,-1,20,-1.00,205,342435.14
2,-1,20,-1.00,230,591321.66
2,-1,20,-1.00,255,610400.14
2,-1,20,-1.00,280,687564.67
2,-1,30,-1.00,5,60971.98
2,-1,30,-1.00,30,85960.96
2,-1,30,-1.00,55,165438.58
2,-1,30,-1.00,80,183052.85
2,-1,30,-1.00,105,221196.88
2,-1,30,-1.00,130,265812.62
2,-1,30,-1.00,155,300273.74
2,-1,30,-1.00,180,312849.03
2,-1,30,-1.00,205,342520.09
2,-1,30,-1.00,230,595802.10
2,-1,30,-1.00,255,616347.92
2,-1,30,-1.00,280,697088.15
2,-1,40,-1.00,5,60971.98
2,-1,40,-1.00,30,85960.96
2,-1,40,-1.00,55,165438.58
2,-1,40,-1.00,80,183194.98
2,-1,40,-1.00,105,220549.71
2,-1,40,-1.00,130,263124.68
2,-1,40,-1.00,155,300609.21
2,-1,40,-1.00,180,314743.95
2,-1,40,-1.00,205,340807.51
2,-1,40,-1.00,230,599358.62
2,-1,40,-1.00,255,610979.12
2,-1,40,-1.00,280,696936.88
2,-1,50,-1.00,5,60971.98
2,-1,50,-1.00,30,85960.96
2,-1,50,-1.00,55,166039.39
2,-1,50,-1.00,80,183136.01
2,-1,50,-1.00,105,220898.98
2,-1,50,-1.00,130,260160.89
2,-1,50,-1.00,155,297716.59
2,-1,50,-1.00,180,313616.55
2,-1,50,-1.00,205,345400.20
2,-1,50,-1.00,230,599852.37
2,-1,50,-1.00,255,611695.72
2,-1,50,-1.00,280,692909.78
2,-1,60,-1.00,5,60971.98
2,-1,60,-1.00,30,85960.96
2,-1,60,-1.00,55,165954.72
2,-1,60,-1.00,80,183072.15
2,-1,60,-1.00,105,218969.95
2,-1,60,-1.00,130,250616.81
2,-1,60,-1.00,155,297441.20
2,-1,60,-1.00,180,312628.84
2,-1,60,-1.00,205,341531.07
2,-1,60,-1.00,230,594735.01
2,-1,60,-1.00,255,609837.52
2,-1,60,-1.00,280,680390.20
2,-1,70,-1.00,5,60971.98
2,-1,70,-1.00,30,85960.96
