agents,kmax,percent,ratio,profit,distance
1,-1,-1,-1.00,5,60922.88
1,-1,-1,-1.00,30,66983.81
1,-1,-1,-1.00,55,139078.84
1,-1,-1,-1.00,80,154850.28
1,-1,-1,-1.00,105,169548.33
1,-1,-1,-1.00,130,188581.53
1,-1,-1,-1.00,155,239641.03
1,-1,-1,-1.00,180,246534.92
1,-1,-1,-1.00,205,264614.07
1,-1,-1,-1.00,230,501970.59
1,-1,-1,-1.00,255,513772.31
1,-1,-1,-1.00,280,593950.93
1,-1,-1,0.10,5,60922.88
1,-1,-1,0.10,30,66983.81
1,-1,-1,0.10,55,139138.75
1,-1,-1,0.10,80,154748.09
1,-1,-1,0.10,105,169543.66
1,-1,-1,0.10,130,188572.97
1,-1,-1,0.10,155,239350.41
1,-1,-1,0.10,180,246854.98
1,-1,-1,0.10,205,264780.30
1,-1,-1,0.10,230,505750.73
1,-1,-1,0.10,255,514621.12
1,-1,-1,0.10,280,600681.64
1,-1,-1,0.20,5,60922.88
1,-1,-1,0.20,30,66983.81
1,-1,-1,0.20,55,139163.06
1,-1,-1,0.20,80,154777.79
1,-1,-1,0.20,105,169261.32
1,-1,-1,0.20,130,188597.32
1,-1,-1,0.20,155,239364.39
1,-1,-1,0.20,180,246745.21
1,-1,-1,0.20,205,264804.44
1,-1,-1,0.20,230,504713.23
1,-1,-1,0.20,255,514398.35
1,-1,-1,0.20,280,597439.41
1,-1,-1,0.30,5,60922.88
1,-1,-1,0.30,30,66983.81
1,-1,-1,0.30,55,139113.87
1,-1,-1,0.30,80,154758.38
1,-1,-1,0.30,105,169631.43
1,-1,-1,0.30,130,188531.09
1,-1,-1,0.30,155,239663.81
1,-1,-1,0.30,180,247044.94
1,-1,-1,0.30,205,264975.19
1,-1,-1,0.30,230,505289.49
1,-1,-1,0.30,255,514391.52
1,-1,-1,0.30,280,597339.50
1,-1,-1,0.40,5,60922.88
1,-1,-1,0.40,30,66983.81
1,-1,-1,0.40,55,139156.41
1,-1,-1,0.40,80,155012.82
1,-1,-1,0.40,105,169673.99
1,-1,-1,0.40,130,188598.33
1,-1,-1,0.40,155,239751.84
1,-1,-1,0.40,180,247111.89
1,-1,-1,0.40,205,265046.36
1,-1,-1,0.40,230,505823.30
1,-1,-1,0.40,255,514816.04
1,-1,-1,0.40,280,598695.69
1,-1,-1,0.50,5,60922.88
1,-1,-1,0.50,30,66982.53
1,-1,-1,0.50,55,139181.38
1,-1,-1,0.50,80,155224.71
1,-1,-1,0.50,105,169602.73
1,-1,-1,0.50,130,188496.34
1,-1,-1,0.50,155,239597.18
1,-1,-1,0.50,180,246829.69
1,-1,-1,0.50,205,265231.78
1,-1,-1,0.50,230,505392.74
1,-1,-1,0.50,255,515902.36
1,-1,-1,0.50,280,600648.41
1,-1,-1,0.60,5,60922.88
1,-1,-1,0.60,30,66982.53
1,-1,-1,0.60,55,139239.77
1,-1,-1,0.60,80,155124.83
1,-1,-1,0.60,105,169607.44
1,-1,-1,0.60,130,188461.22
1,-1,-1,0.60,155,239469.82
1,-1,-1,0.60,180,246800.71
1,-1,-1,0.60,205,265213.12
1,-1,-1,0.60,230,505250.77
1,-1,-1,0.60,255,515870.95
1,-1,-1,0.60,280,600832.23
1,-1,-1,0.70,5,60922.88
1,-1,-1,0.70,30,66982.53
1,-1,-1,0.70,55,139166.88
1,-1,-1,0.70,80,155730.62
1,-1,-1,0.70,105,169615.18
1,-1,-1,0.70,130,188474.30
1,-1,-1,0.70,155,239373.49
1,-1,-1,0.70,180,246908.22
1,-1,-1,0.70,205,265389.06
1,-1,-1,0.70,230,505292.31
1,-1,-1,0.70,255,515979.69
1,-1,-1,0.70,280,602448.70
1,-1,-1,0.80,5,60922.88
1,-1,-1,0.80,30,66982.53
1,-1,-1,0.80,55,139178.47
1,-1,-1,0.80,80,155008.45
1,-1,-1,0.80,105,169589.04
1,-1,-1,0.80,130,188475.85
1,-1,-1,0.80,155,239384.36
1,-1,-1,0.80,180,246962.11
1,-1,-1,0.80,205,265290.16
1,-1,-1,0.80,230,506911.68
1,-1,-1,0.80,255,516180.49
1,-1,-1,0.80,280,601292.55
1,-1,-1,0.90,5,60922.88
1,-1,-1,0.90,30,66982.53
1,-1,-1,0.90,55,139167.33
1,-1,-1,0.90,80,154870.72
1,-1,-1,0.90,105,169645.15
1,-1,-1,0.90,130,188531.65
1,-1,-1,0.90,155,239472.32
1,-1,-1,0.90,180,246917.22
1,-1,-1,0.90,205,265446.05
1,-1,-1,0.90,230,505260.20
1,-1,-1,0.90,255,516591.83
1,-1,-1,0.90,280,601408.07
1,-1,-1,1.00,5,60922.88
1,-1,-1,1.00,30,66999.50
1,-1,-1,1.00,55,139032.95
1,-1,-1,1.00,80,155030.15
1,-1,-1,1.00,105,169766.93
1,-1,-1,1.00,130,188916.77
1,-1,-1,1.00,155,241748.91
1,-1,-1,1.00,180,248085.96
1,-1,-1,1.00,205,267187.14
1,-1,-1,1.00,230,506911.83
1,-1,-1,1.00,255,519148.94
1,-1,-1,1.00,280,611955.66
2,-1,-1,-1.00,5,60971.98
2,-1,-1,-1.00,30,85960.96
2,-1,-1,-1.00,55,165353.27
2,-1,-1,-1.00,80,181059.15
2,-1,-1,-1.00,105,219892.56
2,-1,-1,-1.00,130,250040.22
2,-1,-1,-1.00,155,295699.70
2,-1,-1,-1.00,180,308565.41
2,-1,-1,-1.00,205,334306.89
2,-1,-1,-1.00,230,577956.27
2,-1,-1,-1.00,255,597523.15
2,-1,-1,-1.00,280,665910.45
2,-1,-1,0.10,5,60971.98
2,-1,-1,0.10,30,85960.96
2,-1,-1,0.10,55,165337.34
2,-1,-1,0.10,80,181005.92
2,-1,-1,0.10,105,220267.74
2,-1,-1,0.10,130,266184.51
2,-1,-1,0.10,155,297780.94
2,-1,-1,0.10,180,311110.62
2,-1,-1,0.10,205,338133.13
2,-1,-1,0.10,230,584368.82
2,-1,-1,0.10,255,601095.35
2,-1,-1,0.10,280,669445.91
2,-1,-1,0.20,5,60971.98
2,-1,-1,0.20,30,85960.96
2,-1,-1,0.20,55,165217.21
2,-1,-1,0.20,80,181329.21
2,-1,-1,0.20,105,220305.77
2,-1,-1,0.20,130,265241.89
2,-1,-1,0.20,155,297780.10
2,-1,-1,0.20,180,311238.62
2,-1,-1,0.20,205,337282.87
2,-1,-1,0.20,230,589702.87
2,-1,-1,0.20,255,603844.48
2,-1,-1,0.20,280,674068.24
2,-1,-1,0.30,5,60971.98
2,-1,-1,0.30,30,85960.96
2,-1,-1,0.30,55,165102.83
2,-1,-1,0.30,80,181146.85
2,-1,-1,0.30,105,220393.04
2,-1,-1,0.30,130,264321.89
2,-1,-1,0.30,155,297832.20
2,-1,-1,0.30,180,311640.96
2,-1,-1,0.30,205,337413.83
2,-1,-1,0.30,230,592927.69
2,-1,-1,0.30,255,606656.32
2,-1,-1,0.30,280,674472.88
2,-1,-1,0.40,5,60971.98
2,-1,-1,0.40,30,85960.96
2,-1,-1,0.40,55,165435.20
2,-1,-1,0.40,80,181156.10
2,-1,-1,0.40,105,220294.60
2,-1,-1,0.40,130,264595.71
2,-1,-1,0.40,155,297361.99
2,-1,-1,0.40,180,311326.07
2,-1,-1,0.40,205,336455.54
2,-1,-1,0.40,230,593994.23
2,-1,-1,0.40,255,606735.42
2,-1,-1,0.40,280,676386.18
2,-1,-1,0.50,5,60971.98
2,-1,-1,0.50,30,85960.96
2,-1,-1,0.50,55,165436.98
2,-1,-1,0.50,80,179500.07
2,-1,-1,0.50,105,220410.03
2,-1,-1,0.50,130,256818.77
2,-1,-1,0.50,155,296721.50
2,-1,-1,0.50,180,309042.66
2,-1,-1,0.50,205,333525.01
2,-1,-1,0.50,230,589808.49
2,-1,-1,0.50,255,604731.81
2,-1,-1,0.50,280,673570.05
2,-1,-1,0.60,5,60971.98
2,-1,-1,0.60,30,85960.96
2,-1,-1,0.60,55,165325.74
2,-1,-1,0.60,80,179588.36
2,-1,-1,0.60,105,220236.33
2,-1,-1,0.60,130,258234.03
2,-1,-1,0.60,155,296827.57
2,-1,-1,0.60,180,309181.47
2,-1,-1,0.60,205,334040.01
2,-1,-1,0.60,230,587091.75
2,-1,-1,0.60,255,604750.31
2,-1,-1,0.60,280,670859.73
2,-1,-1,0.70,5,60971.98
2,-1,-1,0.70,30,85960.96
